act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,quantile_95_act_travelling_time,quantile_90_act_travelling_time,quantile_95_act_occupied_time,quantile_90_act_occupied_time,quantile_85_act_travelling_time
2019-12-26 11:02:48.848,KOT,12,RC02,2019-12-26 11:03:13.525,24.677,13.0,False,False,False,False,False,False
2019-12-26 11:02:49.047,LAT,6110,QC09,2019-12-26 11:03:27.093,38.046,19.0,False,False,False,False,False,False
2019-12-26 11:02:49.047,YAT,7010,RC10,2019-12-26 11:03:13.352,24.305,15.0,False,False,False,False,False,False
2019-12-26 11:02:49.246,TIK,7112C,QC11,2019-12-26 11:04:25.071,95.825,4.0,False,False,False,False,False,False
2019-12-26 11:02:49.844,NTK,03,GC16,2019-12-26 11:03:03.517,13.673,2.0,False,False,False,False,False,False
2019-12-26 11:02:50.242,WTS,01,GC19,2019-12-26 11:03:09.169,18.927,9.0,False,False,False,False,False,False
2019-12-26 11:02:50.641,KOT,15,GC20,2019-12-26 11:03:06.180,15.539,6.0,False,False,False,False,False,False
2019-12-26 11:02:51.216,CHH,01,GC18,2019-12-26 11:03:13.524,22.308,8.0,False,False,False,False,False,False
2019-12-26 11:02:51.239,KOB,01,GC17,2019-12-26 11:03:11.559,20.32,7.0,False,False,False,False,False,False
2019-12-26 11:02:51.385,NTK,10,QC07,2019-12-26 11:03:14.548,23.163,10.0,False,False,False,False,False,False
2019-12-26 11:02:52.236,HOM,17,GC24,2019-12-26 11:03:26.103,33.867,22.0,False,False,False,False,False,False
2019-12-26 11:02:52.633,NTK,05,GC16,2019-12-26 11:03:13.525,20.892,8.0,False,False,False,False,False,False
2019-12-26 11:02:53.829,YMT,42,QC27,2019-12-26 11:03:14.548,20.719,7.0,False,False,False,False,False,False
2019-12-26 11:02:54.028,TIK,7112B,QC11,2019-12-26 11:04:29.038,95.01,1.0,False,False,False,False,False,False
2019-12-26 11:02:55.821,TIK,7112A,QC11,2019-12-26 11:04:36.626,100.805,85.0,True,False,False,False,False,False
