act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,incident,incident_5_minutes
2019-11-19 05:14:20.910,KOT,05,KT82,2019-11-19 05:14:33.660,12.75,8.0,False,False,False
2019-11-19 05:14:29.476,KOT,07,KT82,2019-11-19 05:14:43.222,13.746,9.0,False,False,False
2019-11-19 05:14:38.640,KOT,09,KT82,2019-11-19 05:14:58.761,20.121,14.0,True,False,False
2019-11-19 05:14:53.382,KOT,11,KT82,2019-11-19 05:15:09.718,16.336,13.0,False,False,False
2019-11-19 05:15:06.530,KOT,13,KT82,2019-11-19 05:15:20.276,13.746,9.0,False,False,False
2019-11-19 05:15:16.292,KOT,15,KT82,2019-11-19 05:15:30.237,13.945,9.0,False,False,False
2019-11-19 05:15:25.449,LOF,01,KT82,2019-11-19 05:15:40.596,15.147,9.0,False,False,False
2019-11-19 05:15:35.217,LOF,03,KT82,2019-11-19 05:15:50.647,15.43,10.0,False,False,False
2019-11-19 05:15:39.202,KOB,04,ET80,2019-11-19 05:21:49.146,369.944,50.0,False,False,False
2019-11-19 05:15:45.377,LOF,05,KT82,2019-11-19 05:16:01.713,16.336,11.0,False,False,False
2019-11-19 05:15:56.932,LOF,07,KT82,2019-11-19 05:16:12.670,15.738,10.0,False,False,False
2019-11-19 05:16:07.889,LOF,09,KT82,2019-11-19 05:16:23.627,15.738,12.0,True,False,False
2019-11-19 05:16:20.041,LOF,11,KT82,2019-11-19 05:16:36.576,16.535,12.0,False,False,False
2019-11-19 05:16:28.209,CHH,27,HT85,2019-11-19 05:16:49.163,20.954,14.0,False,False,False
2019-11-19 05:16:29.404,KOB,06,ET80,2019-11-19 05:22:28.192,358.788,343.0,False,False,False
2019-11-19 05:16:32.791,LOF,13,KT82,2019-11-19 05:16:48.130,15.339,11.0,False,False,False
2019-11-19 05:16:42.951,CHH,24,HT85,2019-11-19 05:16:53.111,10.16,4.0,False,False,False
2019-11-19 05:16:43.947,WTS,01,KT82,2019-11-19 05:16:59.287,15.34,12.0,False,False,False
2019-11-19 05:16:47.535,CHH,13A,HT85,,,4.0,False,False,False
2019-11-19 05:16:52.115,CHH,15,HT85,2019-11-19 05:17:11.638,19.523,13.0,False,False,False
2019-11-19 05:16:56.298,WTS,03,KT82,2019-11-19 05:17:09.064,12.765999999999998,8.0,False,False,False
2019-11-19 05:17:04.466,WTS,05,KT82,2019-11-19 05:17:24.587,20.121,15.0,True,False,False
2019-11-19 05:17:05.462,CHH,17,HT85,2019-11-19 05:17:24.587,19.125,13.0,False,False,False
2019-11-19 05:17:18.611,CHH,19,HT85,2019-11-19 05:17:38.134,19.523,13.0,False,False,False
2019-11-19 05:17:20.204,WTS,07,KT82,2019-11-19 05:17:36.142,15.938,12.0,False,False,False
2019-11-19 05:17:31.958,CHH,21,HT85,2019-11-19 05:17:51.680,19.722,14.0,False,False,False
2019-11-19 05:17:32.954,WTS,09,KT82,2019-11-19 05:17:48.126,15.172,11.0,False,False,False
2019-11-19 05:17:44.110,WTS,11,KT82,2019-11-19 05:17:58.096,13.986,9.0,False,False,False
2019-11-19 05:17:46.102,KOB,01,HT85,2019-11-19 05:18:05.040,18.938,12.0,False,False,False
2019-11-19 05:17:53.274,DIH,01,KT82,2019-11-19 05:18:08.614,15.34,10.0,False,False,False
2019-11-19 05:17:58.852,KOB,03,HT85,2019-11-19 05:18:18.575,19.723,14.0,False,False,False
2019-11-19 05:18:03.833,DIH,03,KT82,2019-11-19 05:18:20.168,16.335,11.0,False,False,False
2019-11-19 05:18:07.020,LAT,6114,HT89,2019-11-19 05:18:41.484,34.464,25.0,False,False,False
2019-11-19 05:18:13.594,KOB,05,HT85,2019-11-19 05:18:36.106,22.512,16.0,False,False,False
2019-11-19 05:18:15.586,DIH,05,KT82,2019-11-19 05:18:32.128,16.542,11.0,True,False,False
2019-11-19 05:18:26.942,DIH,07,KT82,2019-11-19 05:18:46.664,19.722,12.0,False,False,False
2019-11-19 05:18:30.528,KOB,07,HT85,2019-11-19 05:18:58.617,28.089,21.0,False,False,False
2019-11-19 05:18:32.918,LAT,6108,HT89,2019-11-19 05:18:52.644,19.726,9.0,False,False,False
2019-11-19 05:18:39.094,DIH,09,KT82,2019-11-19 05:19:01.804,22.71,17.0,False,False,False
2019-11-19 05:18:42.481,LAT,6106,HT89,2019-11-19 05:19:00.410,17.929000000000006,10.0,False,False,False
2019-11-19 05:18:51.844,KOB,09,HT85,2019-11-19 05:19:17.742,25.898000000000003,21.0,True,False,False
2019-11-19 05:18:52.840,LAT,6104,HT89,2019-11-19 05:19:06.386,13.546,7.0,True,False,False
2019-11-19 05:18:56.426,CHH,01,KT82,2019-11-19 05:19:10.590,14.164,9.0,False,False,False
2019-11-19 05:19:00.012,LAT,6102,HT89,2019-11-19 05:19:11.367,11.355,4.0,False,False,False
2019-11-19 05:19:04.992,KWT,6016,HT89,2019-11-19 05:19:26.308,21.316,12.0,False,False,False
2019-11-19 05:19:06.022,CHH,03,KT82,2019-11-19 05:19:18.140,12.118,7.0,False,False,False
2019-11-19 05:19:13.160,CHH,05,KT82,2019-11-19 05:19:25.710,12.55,7.0,False,False,False
2019-11-19 05:19:13.359,KOB,11,HT85,2019-11-19 05:19:32.683,19.324,14.0,False,False,False
2019-11-19 05:19:17.941,KWT,6014,HT89,2019-11-19 05:19:37.863,19.922,11.0,False,False,False
2019-11-19 05:19:20.929,CHH,07,KT82,2019-11-19 05:19:29.296,8.367,2.0,False,False,False
2019-11-19 05:19:23.917,CHH,22,KT82,2019-11-19 05:19:35.671,11.754,6.0,False,False,False
2019-11-19 05:19:28.101,KOB,13,HT85,2019-11-19 05:19:48.222,20.121,15.0,False,False,False
2019-11-19 05:19:29.496,KWT,6012,HT89,2019-11-19 05:19:51.210,21.714,12.0,False,False,False
2019-11-19 05:19:30.093,CHH,23A,KT82,,,7.0,False,False,False
2019-11-19 05:19:37.863,CHH,25,KT82,2019-11-19 05:20:49.580,71.717,62.0,False,False,False
2019-11-19 05:19:41.847,KWT,6010,HT89,2019-11-19 05:20:02.765,20.918000000000006,11.0,False,False,False
2019-11-19 05:19:43.441,KOB,15,HT85,2019-11-19 05:20:03.163,19.722,14.0,False,False,False
2019-11-19 05:19:53.401,KWT,6008,HT89,2019-11-19 05:20:19.100,25.699,16.0,True,False,False
2019-11-19 05:19:57.983,NTK,01,HT85,2019-11-19 05:20:14.718,16.735,10.0,False,False,False
2019-11-19 05:20:08.143,NTK,03,HT85,2019-11-19 05:20:20.096,11.953,5.0,False,False,False
2019-11-19 05:20:09.737,KWT,6006,HT89,2019-11-19 05:20:25.077,15.34,5.0,False,False,False
2019-11-19 05:20:13.921,NTK,05,HT85,2019-11-19 05:20:34.241,20.32,15.0,False,False,False
2019-11-19 05:20:15.315,KWT,6004,HT89,2019-11-19 05:20:31.053,15.738,6.0,False,False,False
2019-11-19 05:20:21.491,KWT,6002,HT89,2019-11-19 05:20:42.807,21.316,12.0,False,False,False
2019-11-19 05:20:29.659,NTK,07,HT85,2019-11-19 05:20:47.588,17.929000000000006,13.0,False,False,False
2019-11-19 05:20:34.241,NTK,02,HT89,2019-11-19 05:20:51.174,16.933,11.0,False,False,False
2019-11-19 05:20:40.815,CHH,27,KT82,2019-11-19 05:21:00.736,19.921,12.0,False,False,False
2019-11-19 05:20:42.807,NTK,09,HT85,2019-11-19 05:21:01.733,18.926,13.0,False,False,False
2019-11-19 05:20:45.397,NTK,04,HT89,2019-11-19 05:21:01.733,16.336,9.0,False,False,False
2019-11-19 05:20:53.166,CHH,36,KT82,2019-11-19 05:21:10.299,17.133,9.0,False,False,False
2019-11-19 05:20:55.158,NTK,06,HT89,2019-11-19 05:21:18.068,22.91,15.0,True,False,False
2019-11-19 05:20:56.155,NTK,11,HT85,2019-11-19 05:21:16.076,19.921,14.0,True,False,False
2019-11-19 05:21:02.928,CHH,34,KT82,2019-11-19 05:21:21.074,18.146,10.0,False,False,False
2019-11-19 05:21:05.916,MOK,43,KT83,2019-11-19 05:21:19.064,13.148,9.0,False,False,False
2019-11-19 05:21:10.299,NTK,13,HT85,2019-11-19 05:21:31.217,20.918000000000006,16.0,False,False,False
2019-11-19 05:21:10.498,NTK,08,HT89,2019-11-19 05:21:34.603,24.105,15.0,False,False,False
2019-11-19 05:21:13.486,CHH,32,KT82,2019-11-19 05:21:58.310,44.824,29.0,False,False,False
2019-11-19 05:21:15.478,MOK,45,KT83,2019-11-19 05:21:36.595,21.117,17.0,False,False,False
2019-11-19 05:21:25.653,NTK,10,HT89,2019-11-19 05:21:54.724,29.071,17.0,False,False,False
2019-11-19 05:21:26.834,NTK,15,HT85,2019-11-19 05:21:45.162,18.328,14.0,False,False,False
2019-11-19 05:21:33.408,MOK,47,KT83,2019-11-19 05:21:56.716,23.308000000000003,19.0,True,False,False
2019-11-19 05:21:40.978,KWT,6001,HT85,2019-11-19 05:21:59.107,18.129,11.0,False,False,False
2019-11-19 05:21:42.970,NTK,12,HT89,2019-11-19 05:22:05.681,22.711,7.0,False,False,False
2019-11-19 05:21:43.369,CHH,30,KT82,2019-11-19 05:22:16.638,33.269,22.0,False,False,False
2019-11-19 05:21:50.142,NTK,14,HT89,2019-11-19 05:22:46.719,56.577,14.0,False,False,False
2019-11-19 05:21:52.134,KWT,6003,HT85,2019-11-19 05:22:06.279,14.145,6.0,False,False,False
2019-11-19 05:21:52.732,SKM,01,KT83,2019-11-19 05:22:09.665,16.933,13.0,False,False,False
2019-11-19 05:21:58.310,KWT,6005,HT85,2019-11-19 05:22:13.650,15.34,8.0,False,False,False
2019-11-19 05:22:04.286,NTK,16,HT89,2019-11-19 05:28:08.055,363.769,,False,False,False
2019-11-19 05:22:05.482,CHH,28,KT82,2019-11-19 05:24:02.621,117.139,,False,False,False
2019-11-19 05:22:05.880,SKM,03,KT83,2019-11-19 05:22:24.208,18.328,14.0,False,False,False
2019-11-19 05:22:07.075,KWT,6007,HT85,2019-11-19 05:22:31.380,24.305,16.0,True,False,False
2019-11-19 05:22:12.454,KOB,08,ET80,2019-11-19 05:23:04.649,52.195,43.0,False,False,False
2019-11-19 05:22:20.224,SKM,05,KT83,2019-11-19 05:22:39.149,18.925,14.0,False,False,False
2019-11-19 05:22:23.212,KWT,6009,HT85,2019-11-19 05:22:37.755,14.543,8.0,False,False,False
2019-11-19 05:22:27.794,KOB,14,KS67,2019-11-19 05:23:12.219,44.425,8.0,False,False,False
2019-11-19 05:22:31.380,KWT,6011,HT85,2019-11-19 05:22:45.524,14.144,6.0,False,False,False
2019-11-19 05:22:34.966,SKM,07,KT83,2019-11-19 05:22:54.108,19.142,14.0,False,False,False
2019-11-19 05:22:36.559,KOB,16,KS67,2019-11-19 05:23:42.699,66.14,33.0,False,False,False
2019-11-19 05:22:37.556,KWT,6013,HT85,2019-11-19 05:22:58.872,21.316,14.0,False,False,False
2019-11-19 05:22:49.907,SKM,09,KT83,2019-11-19 05:23:01.063,11.156,8.0,False,False,False
