act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-12-24 08:52:46.001,SKM,14,QA05,2019-12-24 08:53:09.907,23.906,8,False
2019-12-24 08:52:46.114,WTS,09,GA31,2019-12-24 08:53:02.880,16.766,8,False
2019-12-24 08:52:46.998,MOK,46,QA22,2019-12-24 08:53:14.290,27.292,12,False
2019-12-24 08:52:47.395,KOB,12,QA08,2019-12-24 08:53:09.906,22.511,11,False
2019-12-24 08:52:47.594,HOM,12,QA21,2019-12-24 08:54:00.507,72.913,55,True
2019-12-24 08:52:47.994,TIK,7109A,GA28,2019-12-24 08:54:06.421,78.427,5,False
2019-12-24 08:52:48.392,TIK,7120,QA12,2019-12-24 08:53:11.493,23.101,0,False
2019-12-24 08:52:48.591,YAT,7012,QA11,2019-12-24 08:53:16.482,27.891,21,False
2019-12-24 08:52:48.591,TIK,7122,QA12,2019-12-24 08:53:50.533,61.942,45,False
2019-12-24 08:52:48.990,HOM,22,GA01,2019-12-24 08:53:09.629,20.639,3,False
2019-12-24 08:52:49.586,WTS,01,GA17,2019-12-24 08:53:10.903,21.317,11,False
2019-12-24 08:52:49.911,KWT,6011,GA14,2019-12-24 08:53:08.711,18.8,4,False
2019-12-24 08:52:50.384,YMT,37,GA20,2019-12-24 08:53:10.305,19.921,6,False
2019-12-24 08:52:51.579,MOK,34B,RA04,2019-12-24 08:53:11.899,20.32,7,False
2019-12-24 08:52:52.117,LAT,6109,GA29,2019-12-24 08:53:30.649,38.532,26,False
2019-12-24 08:52:52.375,KOT,11,GA18,2019-12-24 08:53:16.879,24.504,15,False
2019-12-24 08:52:52.774,KOT,16,RA06,2019-12-24 08:53:13.293,20.519,8,False
2019-12-24 08:52:52.775,HOM,07,GA01,2019-12-24 08:53:17.478,24.703,5,False
2019-12-24 08:52:53.077,HOM,02,RA03,2019-12-24 08:53:27.649,34.572,22,False
2019-12-24 08:52:53.770,TIK,7109B,GA28,2019-12-24 08:54:12.617,78.847,10,False
2019-12-24 08:52:54.332,HOM,19,GA46,2019-12-24 08:53:28.385,34.053,21,False
2019-12-24 08:52:54.332,WTS,11,GA31,2019-12-24 08:53:11.301,16.969,6,False
2019-12-24 08:52:54.368,KWT,6013,GA14,2019-12-24 08:53:17.663,23.295,10,False
2019-12-24 08:52:54.766,SKM,16,QA05,2019-12-24 08:53:14.887,20.121,5,False
2019-12-24 08:52:55.164,NTK,12,RA09,2019-12-24 08:53:11.899,16.735,4,False
2019-12-24 08:52:56.957,YMT,39,GA20,2019-12-24 08:53:16.879,19.922,7,False
2019-12-24 08:52:57.157,CHH,12,RA25,2019-12-24 08:53:19.406,22.249,9,False
2019-12-24 08:52:58.501,HOM,09,GA01,2019-12-24 08:54:37.561,99.06,6,False
2019-12-24 08:52:58.951,MOK,36,RA04,2019-12-24 08:53:34.410,35.459,13,False
2019-12-24 08:52:59.149,DIH,12,QA24,2019-12-24 08:53:23.852,24.703,11,False
2019-12-24 08:52:59.348,KOB,14,QA08,2019-12-24 08:53:20.465,21.117,8,False
2019-12-24 08:52:59.547,YMT,32,QA22,2019-12-24 08:53:24.323,24.776,8,False
2019-12-24 08:52:59.547,NTK,14,RA09,2019-12-24 08:53:18.871,19.324,7,False
2019-12-24 08:53:00.345,SKM,18,QA05,2019-12-24 08:53:24.848,24.503,11,False
2019-12-24 08:53:00.543,DIH,01,GA31,2019-12-24 08:53:23.852,23.309,8,False
2019-12-24 08:53:01.141,SKM,01,GA33,2019-12-24 08:53:26.840,25.699,11,False
2019-12-24 08:53:01.321,WTS,03,GA17,2019-12-24 08:53:27.437,26.116,6,False
2019-12-24 08:53:01.739,SKM,02,RA06,2019-12-24 08:53:22.855,21.116,8,False
2019-12-24 08:53:02.881,SKM,15,GA32,2019-12-24 08:53:26.243,23.362,13,False
2019-12-24 08:53:04.229,TIK,7109C,GA28,2019-12-24 08:54:20.616,76.387,62,True
2019-12-24 08:53:04.229,YMT,41,GA20,2019-12-24 08:53:26.243,22.014,9,False
2019-12-24 08:53:04.528,KWT,6015,GA14,2019-12-24 08:53:28.434,23.906,11,False
2019-12-24 08:53:05.125,YAT,7005,GA13,2019-12-24 08:53:25.649,20.524,9,False
2019-12-24 08:53:05.324,HOM,11,GA01,2019-12-24 08:54:45.929,100.605,82,True
2019-12-24 08:53:06.719,CHH,14,RA25,2019-12-24 08:53:24.322,17.603,5,False
2019-12-24 08:53:06.833,KOB,02,RA09,2019-12-24 08:53:30.790,23.957,11,False
2019-12-24 08:53:07.118,LAT,6110,RA26,2019-12-24 08:53:48.554,41.436,23,False
2019-12-24 08:53:07.516,KOT,13,GA18,2019-12-24 08:53:24.848,17.332,7,False
2019-12-24 08:53:07.915,WTS,05,GA17,2019-12-24 08:54:22.421,74.506,58,True
2019-12-24 08:53:07.915,KOB,16,QA08,2019-12-24 08:53:30.790,22.875,12,False
2019-12-24 08:53:08.512,YMT,34,QA22,2019-12-24 08:53:26.840,18.328,2,False
2019-12-24 08:53:08.711,DIH,03,GA31,2019-12-24 08:54:17.839,69.128,9,False
2019-12-24 08:53:10.306,YAT,7010,QA11,2019-12-24 08:53:31.621,21.315,10,False
2019-12-24 08:53:10.504,SKM,04,RA06,2019-12-24 08:53:31.820,21.316,8,False
2019-12-24 08:53:10.703,WTS,02,QA24,2019-12-24 08:53:36.801,26.098,9,False
2019-12-24 08:53:11.302,YMT,36,QA22,2019-12-24 08:53:35.805,24.503,4,False
2019-12-24 08:53:11.900,SKM,20,QA05,2019-12-24 08:53:38.394,26.494,12,False
2019-12-24 08:53:12.483,MOK,38,RA04,2019-12-24 08:54:34.374,81.891,12,False
2019-12-24 08:53:12.484,KWT,6006,QA10,2019-12-24 08:53:34.789,22.305,6,False
2019-12-24 08:53:12.496,CHH,16,RA25,2019-12-24 08:53:27.238,14.742,4,False
2019-12-24 08:53:13.094,SKM,03,GA33,2019-12-24 08:53:35.406,22.312,9,False
2019-12-24 08:53:13.492,MOK,31,GA20,2019-12-24 08:53:34.789,21.297,8,False
2019-12-24 08:53:14.689,YAT,7007,GA13,2019-12-24 08:53:50.533,35.844,30,False
2019-12-24 08:53:15.285,KOT,15,GA18,2019-12-24 08:53:31.422,16.137,6,False
2019-12-24 08:53:15.857,HOM,21,GA46,2019-12-24 08:53:50.746,34.889,21,False
2019-12-24 08:53:15.858,LAT,6101,GA14,2019-12-24 08:53:32.566,16.708,4,False
2019-12-24 08:53:15.858,HOM,04,RA03,2019-12-24 08:53:44.067,28.209,15,False
2019-12-24 08:53:16.281,YMT,38,QA22,2019-12-24 08:53:43.375,27.094,5,False
2019-12-24 08:53:16.281,SKM,17,GA32,2019-12-24 08:53:34.410,18.129,9,False
2019-12-24 08:53:16.680,CHH,18,RA25,2019-12-24 08:53:30.790,14.11,3,False
2019-12-24 08:53:17.277,WTS,12,RA07,2019-12-24 08:53:38.394,21.117,9,False
2019-12-24 08:53:18.205,DIH,05,GA31,2019-12-24 08:54:26.804,68.599,57,True
2019-12-24 08:53:18.274,KOB,04,RA09,2019-12-24 08:53:42.760,24.486,10,False
2019-12-24 08:53:18.367,YAT,7001,GA29,2019-12-24 08:53:59.456,41.089,26,False
2019-12-24 08:53:18.871,SKM,06,RA06,2019-12-24 08:53:41.273,22.402,8,False
2019-12-24 08:53:19.271,KWT,6004,QA10,2019-12-24 08:53:38.740,19.469,6,False
2019-12-24 08:53:19.825,WTS,04,QA24,2019-12-24 08:53:51.321,31.496,11,False
2019-12-24 08:53:19.867,CHH,13A,GA16,2019-12-24 08:53:44.371,24.504,13,False
2019-12-24 08:53:20.465,LAT,6103,GA14,2019-12-24 08:53:49.550,29.085,12,False
2019-12-24 08:53:20.606,CHH,02,QA08,2019-12-24 08:53:42.760,22.154,13,False
2019-12-24 08:53:20.664,CHH,20,RA25,2019-12-24 08:53:35.805,15.141,4,False
2019-12-24 08:53:21.262,YAT,7008,QA11,2019-12-24 08:53:46.563,25.301,8,False
2019-12-24 08:53:21.859,YMT,40,QA22,2019-12-24 08:54:35.370,73.511,57,True
2019-12-24 08:53:22.059,MOK,33,GA20,2019-12-24 08:53:50.347,28.288,9,False
2019-12-24 08:53:22.259,LOF,01,GA18,2019-12-24 08:53:38.343,16.084,5,False
2019-12-24 08:53:22.457,NTK,13,GA15,2019-12-24 08:53:43.375,20.918,10,False
2019-12-24 08:53:22.656,SKM,05,GA33,2019-12-24 08:53:44.372,21.716,8,False
2019-12-24 08:53:24.449,SKM,22A,QA05,2019-12-24 08:53:44.372,19.923,2,False
2019-12-24 08:53:25.047,MOK,40,RA04,2019-12-24 08:54:41.347,76.3,59,True
2019-12-24 08:53:25.576,DIH,02,RA25,2019-12-24 08:53:43.375,17.799,6,False
2019-12-24 08:53:25.577,KWT,6002,QA10,2019-12-24 08:53:48.106,22.529,11,False
2019-12-24 08:53:25.819,SKM,19,GA32,2019-12-24 08:53:40.785,14.966,5,False
2019-12-24 08:53:26.649,SKM,22B,QA05,2019-12-24 08:54:42.940,76.291,4,False
2019-12-24 08:53:27.039,WTS,14,RA07,2019-12-24 08:53:48.890,21.851,7,False
2019-12-24 08:53:27.648,SKM,08,RA06,2019-12-24 08:53:55.925,28.277,9,False
2019-12-24 08:53:28.170,LOF,03,GA18,2019-12-24 08:53:45.280,17.11,6,False
2019-12-24 08:53:28.832,KOB,06,RA09,2019-12-24 08:53:58.914,30.082,12,False
2019-12-24 08:53:29.829,YAT,7006C,QA11,2019-12-24 08:54:45.528,75.699,6,False
