act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-12-24 22:53:21.906,HOM,20,QA35,2019-12-24 22:53:46.808,24.902,,False
2019-12-24 22:53:22.104,MOK,43,GA11,2019-12-24 22:53:40.233,18.129,5,False
2019-12-24 22:53:23.509,YAT,7004,QA03,2019-12-24 22:53:41.827,18.318,8,False
2019-12-24 22:53:23.699,HOM,20,GA35,2019-12-24 22:53:46.808,23.109,10,False
2019-12-24 22:53:24.296,KWT,6008,QA39,2019-12-24 22:54:41.592,77.296,59,True
2019-12-24 22:53:27.284,MOK,45,GA11,2019-12-24 22:53:58.249,30.965,11,False
2019-12-24 22:53:27.690,WTS,12,QA37,2019-12-24 22:53:47.803,20.113,9,False
2019-12-24 22:53:27.690,WTS,11,GA44,2019-12-24 22:53:44.815,17.125,6,False
2019-12-24 22:53:27.881,CHH,14,QA38,2019-12-24 22:53:47.607,19.726,6,False
2019-12-24 22:53:29.218,CHH,13A,GA09,2019-12-24 22:53:53.182,23.964,12,False
2019-12-24 22:53:29.689,LAT,6109,GA42,2019-12-24 22:54:02.944,33.255,26,False
2019-12-24 22:53:29.690,KOB,06,QA01,2019-12-24 22:53:59.756,30.066,11,False
2019-12-24 22:53:32.264,HOM,13,GA34,2019-12-24 22:53:56.250,23.986,7,False
2019-12-24 22:53:32.463,YAT,7002,QA03,2019-12-24 22:53:47.803,15.34,12,False
2019-12-24 22:53:33.858,DIH,01,GA44,2019-12-24 22:53:57.366,23.508,7,False
2019-12-24 22:53:34.057,CHH,16,QA38,2019-12-24 22:53:51.788,17.731,4,False
2019-12-24 22:53:34.655,WHA,02,GA35,2019-12-24 22:53:54.179,19.524,7,False
2019-12-24 22:53:37.245,WTS,14,QA37,2019-12-24 22:53:54.179,16.934,7,False
2019-12-24 22:53:38.440,MOK,47,GA11,2019-12-24 22:55:02.709,84.269,66,True
2019-12-24 22:53:38.639,CHH,18,QA38,2019-12-24 22:53:56.170,17.531,3,False
2019-12-24 22:53:39.835,HOM,15,GA34,2019-12-24 22:54:08.123,28.288,13,False
2019-12-24 22:53:41.030,DIH,03,GA44,2019-12-24 22:54:47.768,66.738,9,False
2019-12-24 22:53:41.384,CHH,15,GA09,2019-12-24 22:54:00.752,19.368,8,False
2019-12-24 22:53:41.627,KOB,08,QA01,2019-12-24 22:54:53.290,71.663,13,False
