act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-11-23 14:36:28.750,YMT,40,RD22,2019-11-23 14:37:50.229,81.479,64,True
2019-11-23 14:36:28.968,NTK,11,GD10,2019-11-23 14:37:42.659,73.691,61,True
2019-11-23 14:36:30.918,HOM,08,QD21,2019-11-23 14:37:18.554,47.636,26,False
2019-11-23 14:36:31.538,CHH,18,RD28,2019-11-23 14:36:49.668,18.13,4,False
2019-11-23 14:36:31.539,HOM,09,GD19,2019-11-23 14:37:36.483,64.944,7,False
2019-11-23 14:36:33.133,SKM,19,GD15,2019-11-23 14:36:48.672,15.539,5,False
2019-11-23 14:36:33.732,MOK,33,GD17,2019-11-23 14:37:02.618,28.886,9,False
2019-11-23 14:36:33.732,LOF,04,RD26,2019-11-23 14:36:52.622,18.89,7,False
2019-11-23 14:36:33.732,MOK,32B,QD23,2019-11-23 14:36:57.238,23.506,6,False
2019-11-23 14:36:34.130,WTS,02,QD27,2019-11-23 14:36:56.242,22.112,9,False
2019-11-23 14:36:34.328,CHH,11,GD12,2019-11-23 14:37:43.058,68.73,53,True
2019-11-23 14:36:35.126,TIK,7111,GD06,2019-11-23 14:36:51.062,15.936,2,False
2019-11-23 14:36:35.324,YAT,7010,QD04,2019-11-23 14:36:57.044,21.72,9,False
2019-11-23 14:36:35.723,CHH,20,RD28,2019-11-23 14:36:56.043,20.32,5,False
2019-11-23 14:36:37.316,LAT,6108,RD03,2019-11-23 14:37:07.000,29.684,8,False
2019-11-23 14:36:37.316,TIK,7113,GD06,2019-11-23 14:37:05.007,27.691,14,False
2019-11-23 14:36:37.715,KWT,6010,QD02,2019-11-23 14:37:11.683,33.968,12,False
2019-11-23 14:36:38.712,SKM,21,GD15,2019-11-23 14:36:54.052,15.34,7,False
2019-11-23 14:36:39.309,HOM,11,GD19,2019-11-23 14:37:44.850,65.541,47,True
2019-11-23 14:36:39.708,KOB,09,GD11,2019-11-23 14:37:58.596,78.888,63,True
2019-11-23 14:36:40.703,MOK,34A,QD23,2019-11-23 14:37:02.618,21.915,7,False
2019-11-23 14:36:40.902,LOF,06,RD26,2019-11-23 14:37:07.199,26.297,9,False
2019-11-23 14:36:41.301,DIH,02,RD28,2019-11-23 14:37:08.195,26.894,10,False
2019-11-23 14:36:43.293,SKM,01,GD16,2019-11-23 14:37:07.597,24.304,12,False
2019-11-23 14:36:43.293,MOK,35,GD17,2019-11-23 14:37:55.577,72.284,10,False
2019-11-23 14:36:43.492,LAT,6107,GD08,2019-11-23 14:37:07.000,23.508,10,False
2019-11-23 14:36:43.492,WTS,04,QD27,2019-11-23 14:37:06.586,23.094,8,False
2019-11-23 14:36:44.488,YAT,7008,QD04,2019-11-23 14:37:13.972,29.484,11,False
2019-11-23 14:36:45.684,LAT,6106,RD03,2019-11-23 14:37:54.973,69.289,8,False
2019-11-23 14:36:45.883,KOT,01,GD15,2019-11-23 14:37:00.625,14.742,6,False
2019-11-23 14:36:48.473,MOK,34B,QD23,2019-11-23 14:37:08.593,20.12,7,False
2019-11-23 14:36:50.038,YMT,31,GD18,2019-11-23 14:37:15.765,25.727,12,False
2019-11-23 14:36:50.038,LOF,08,RD26,2019-11-23 14:38:06.565,76.527,10,False
2019-11-23 14:36:50.066,KWT,6008,QD02,2019-11-23 14:38:12.541,82.475,64,True
