act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-12-31 21:07:39.372,KWT,6011,GA17,2019-12-31 21:07:57.900,18.528,4,False
2019-12-31 21:07:41.962,SKM,21,GA39,2019-12-31 21:07:57.302,15.34,6,False
2019-12-31 21:07:42.361,MOK,45,GA03,2019-12-31 21:08:14.834,32.473,12,False
2019-12-31 21:07:42.958,CHH,07,GA38,2019-12-31 21:07:57.302,14.344,2,False
2019-12-31 21:07:44.325,KWT,6013,GA17,2019-12-31 21:08:06.466,22.141,8,False
2019-12-31 21:07:45.350,CHH,09B,GA38,2019-12-31 21:08:13.837,28.487,9,False
2019-12-31 21:07:45.947,KOB,16,QA45,2019-12-31 21:08:09.853,23.906,12,False
2019-12-31 21:07:46.944,SKM,10,QA08,2019-12-31 21:09:05.842,78.898,10,False
2019-12-31 21:07:47.342,TIK,7115,GA16,2019-12-31 21:08:06.865,19.523,2,False
2019-12-31 21:07:47.740,HOM,08,QA06,2019-12-31 21:08:41.130,53.39,29,False
2019-12-31 21:07:48.736,KOT,01,GA39,2019-12-31 21:08:03.677,14.941,5,False
2019-12-31 21:07:49.333,YAT,7009,GA36,2019-12-31 21:08:12.842,23.509,15,False
2019-12-31 21:07:49.533,YAT,7010,QA34,2019-12-31 21:08:19.017,29.484,17,False
2019-12-31 21:07:50.329,TIK,7149,GA16,2019-12-31 21:08:09.854,19.525,,False
2019-12-31 21:07:51.282,HOM,21,GA04,2019-12-31 21:08:26.388,35.106,20,False
2019-12-31 21:07:53.118,TIK,7120,QA16,2019-12-31 21:08:18.808,25.69,4,False
2019-12-31 21:07:53.118,KWT,6015,GA17,2019-12-31 21:08:18.021,24.903,11,False
2019-12-31 21:07:54.513,MOK,47,GA03,2019-12-31 21:09:07.844,73.331,55,True
2019-12-31 21:07:54.712,KOT,03,GA39,2019-12-31 21:08:10.849,16.137,6,False
2019-12-31 21:07:54.911,CHH,11,GA38,2019-12-31 21:09:10.814,75.903,61,True
2019-12-31 21:07:57.700,SKM,12,QA08,2019-12-31 21:09:14.400,76.7,64,True
2019-12-31 21:07:58.099,TIK,7122,QA16,2019-12-31 21:08:59.060,60.961,45,False
2019-12-31 21:07:58.697,CHH,02,QA45,2019-12-31 21:08:22.204,23.507,13,False
2019-12-31 21:07:59.095,KOB,11,GA37,2019-12-31 21:08:24.794,25.699,14,False
2019-12-31 21:08:01.286,KOT,05,GA39,2019-12-31 21:08:18.441,17.155,6,False
2019-12-31 21:08:02.880,DIH,12,QA44,2019-12-31 21:08:26.388,23.508,10,False
2019-12-31 21:08:04.475,TIK,7101,GA36,2019-12-31 21:08:46.708,42.233,29,False
2019-12-31 21:08:04.475,LAT,6101,GA17,2019-12-31 21:08:20.810,16.335,3,False
2019-12-31 21:08:06.865,YAT,7008,QA34,2019-12-31 21:08:34.954,28.089,13,False
2019-12-31 21:08:07.661,KOT,07,GA39,2019-12-31 21:08:32.365,24.704,6,False
2019-12-31 21:08:08.259,LAT,6103,GA17,2019-12-31 21:08:37.943,29.684,12,False
2019-12-31 21:08:12.044,YMT,31,GA04,2019-12-31 21:08:37.743,25.699,12,False
2019-12-31 21:08:12.642,CHH,04,QA45,2019-12-31 21:08:35.353,22.711,11,False
