act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-12-30 21:06:39.633,HOM,18,QA05,2019-12-30 21:06:56.168,16.535,4,False
2019-12-30 21:06:40.230,KOB,09,GA18,2019-12-30 21:07:53.940,73.71,58,True
2019-12-30 21:06:41.625,YMT,36,QA06,2019-12-30 21:07:04.535,22.91,5,False
2019-12-30 21:06:42.032,MOK,37,GA03,2019-12-30 21:07:48.562,66.53,51,True
2019-12-30 21:06:42.033,SKM,16,QA07,2019-12-30 21:06:58.558,16.525,4,False
2019-12-30 21:06:43.816,HOM,20,QA05,2019-12-30 21:07:08.572,24.756,,False
2019-12-30 21:06:44.016,SKM,15,GA01,2019-12-30 21:07:07.523,23.507,13,False
2019-12-30 21:06:44.215,YAT,7010,QA41,2019-12-30 21:06:57.723,13.508,8,False
2019-12-30 21:06:44.414,TIK,7111,GA43,2019-12-30 21:07:04.734,20.32,8,False
2019-12-30 21:06:44.414,TIK,7114,QA42,2019-12-30 21:06:59.754,15.34,0,False
2019-12-30 21:06:44.613,TIK,7104,HA14,2019-12-30 21:07:09.515,24.902,19,False
2019-12-30 21:06:44.613,TIK,7112C,QA42,2019-12-30 21:09:19.798,155.185,0,False
2019-12-30 21:06:44.812,TIK,7112B,QA42,2019-12-30 21:09:23.712,158.9,8,False
2019-12-30 21:06:45.012,KOT,04,QA08,2019-12-30 21:07:02.144,17.132,6,False
2019-12-30 21:06:45.411,WTS,04,QA39,2019-12-30 21:07:08.918,23.507,8,False
2019-12-30 21:06:45.609,HOM,20,GA05,2019-12-30 21:07:08.572,22.963,10,False
2019-12-30 21:06:46.805,YMT,38,QA06,2019-12-30 21:07:13.425,26.62,4,False
2019-12-30 21:06:47.004,SKM,18,QA07,2019-12-30 21:07:07.523,20.519,8,False
2019-12-30 21:06:49.793,CHH,06,QA10,2019-12-30 21:07:10.511,20.718,7,False
2019-12-30 21:06:50.988,YMT,40,QA06,2019-12-30 21:08:07.089,76.101,59,True
2019-12-30 21:06:51.196,KOT,06,QA08,2019-12-30 21:07:16.488,25.292,5,False
2019-12-30 21:06:52.981,TIK,7113,GA43,2019-12-30 21:07:17.683,24.702,11,False
2019-12-30 21:06:52.981,YAT,7008,QA41,2019-12-30 21:07:14.496,21.515,10,False
2019-12-30 21:06:53.197,LAT,6107,GA44,2019-12-30 21:07:12.703,19.506,11,False
2019-12-30 21:06:53.197,TIK,7112A,QA42,2019-12-30 21:09:31.668,158.471,142,True
2019-12-30 21:06:53.578,WTS,06,QA39,2019-12-30 21:07:24.058,30.48,9,False
2019-12-30 21:06:55.720,SKM,20,QA07,2019-12-30 21:07:21.070,25.35,11,False
2019-12-30 21:06:56.168,WHA,02,GA05,2019-12-30 21:07:15.691,19.523,7,False
2019-12-30 21:06:56.566,KOT,08,QA08,2019-12-30 21:08:07.089,70.523,12,False
2019-12-30 21:06:56.755,DIH,07,GA19,2019-12-30 21:07:18.878,22.123,9,False
2019-12-30 21:06:57.164,SKM,17,GA01,2019-12-30 21:07:16.089,18.925,10,False
2019-12-30 21:06:57.364,CHH,08,QA10,2019-12-30 21:07:20.472,23.108,4,False
2019-12-30 21:06:58.957,HOM,13,GA04,2019-12-30 21:07:22.066,23.109,6,False
2019-12-30 21:07:02.343,CHH,10,QA10,2019-12-30 21:08:14.460,72.117,55,True
2019-12-30 21:07:02.941,WTS,08,QA39,2019-12-30 21:08:13.465,70.524,14,False
2019-12-30 21:07:03.539,WHA,04,GA05,2019-12-30 21:07:28.641,25.102,6,False
2019-12-30 21:07:03.937,YAT,7006C,QA41,2019-12-30 21:08:03.504,59.567,0,False
2019-12-30 21:07:04.136,TIK,7102,HA14,2019-12-30 21:07:22.663,18.527,9,False
2019-12-30 21:07:04.321,YAT,7006B,QA41,2019-12-30 21:08:10.640,66.319,9,False
2019-12-30 21:07:04.321,LAT,6109,GA44,2019-12-30 21:07:35.696,31.375,23,False
2019-12-30 21:07:04.535,TIK,7115,GA43,2019-12-30 21:07:21.721,17.186,,False
2019-12-30 21:07:05.332,HOM,15,GA04,2019-12-30 21:07:33.620,28.288,14,False
2019-12-30 21:07:05.929,DIH,09,GA19,2019-12-30 21:07:27.445,21.516,11,False
2019-12-30 21:07:06.925,SKM,22A,QA07,2019-12-30 21:07:26.450,19.525,2,False
2019-12-30 21:07:07.324,SKM,19,GA01,2019-12-30 21:07:22.464,15.14,5,False
2019-12-30 21:07:08.572,KOT,10,QA08,2019-12-30 21:08:16.651,68.079,55,True
2019-12-30 21:07:09.714,SKM,22B,QA07,2019-12-30 21:08:17.049,67.335,4,False
2019-12-30 21:07:09.915,WHA,06,GA05,2019-12-30 21:09:04.064,114.149,97,True
2019-12-30 21:07:13.300,TIK,7149,QA43,2019-12-30 21:07:27.773,14.473,0,False
2019-12-30 21:07:13.300,SKM,21,GA01,2019-12-30 21:07:28.640,15.34,6,False
2019-12-30 21:07:13.426,YAT,7006A,QA41,2019-12-30 21:08:14.659,61.233,46,True
2019-12-30 21:07:13.690,LAT,6102,QA12,2019-12-30 21:07:32.624,18.934,5,False
2019-12-30 21:07:13.690,TIK,7122,QA43,2019-12-30 21:08:15.725,62.035,45,False
2019-12-30 21:07:13.690,TIK,7120,QA43,2019-12-30 21:07:35.697,22.007,0,False
2019-12-30 21:07:13.816,YAT,7012,HA14,2019-12-30 21:08:49.721,95.905,23,False
2019-12-30 21:07:13.898,SKM,22C,QA07,2019-12-30 21:08:22.429,68.531,4,False
2019-12-30 21:07:16.488,NTK,08,QA40,2019-12-30 21:07:42.984,26.496,13,False
2019-12-30 21:07:17.085,CHH,01,GA19,2019-12-30 21:07:33.422,16.337,5,False
2019-12-30 21:07:17.484,WTS,10,QA39,2019-12-30 21:08:22.429,64.945,53,True
2019-12-30 21:07:18.480,MOK,32A,QA07,2019-12-30 21:08:29.002,70.522,52,True
2019-12-30 21:07:19.078,KWT,6016,QA12,2019-12-30 21:07:49.358,30.28,13,False
2019-12-30 21:07:19.675,HOM,17,GA04,2019-12-30 21:07:53.542,33.867,22,False
2019-12-30 21:07:19.875,KOT,01,GA01,2019-12-30 21:07:35.015,15.14,5,False
2019-12-30 21:07:20.273,KWT,6009,GA17,2019-12-30 21:07:42.187,21.914,8,False
2019-12-30 21:07:22.863,CHH,03,GA19,2019-12-30 21:07:38.601,15.738,5,False
2019-12-30 21:07:25.828,KOT,03,GA01,2019-12-30 21:07:41.987,16.159,5,False
2019-12-30 21:07:28.042,CHH,05,GA19,2019-12-30 21:07:44.589,16.547,5,False
2019-12-30 21:07:28.242,YAT,7001,GA44,2019-12-30 21:07:58.522,30.28,14,False
2019-12-30 21:07:28.441,KWT,6011,GA17,2019-12-30 21:07:47.167,18.726,5,False
2019-12-30 21:07:30.433,NTK,10,QA40,2019-12-30 21:07:53.542,23.109,11,False
2019-12-30 21:07:31.827,KOT,05,GA01,2019-12-30 21:07:48.960,17.133,6,False
2019-12-30 21:07:32.625,KWT,6014,QA12,2019-12-30 21:08:02.308,29.683,13,False
2019-12-30 21:07:33.620,MOK,39,GA03,2019-12-30 21:07:54.538,20.918,6,False
2019-12-30 21:07:33.821,CHH,07,GA19,2019-12-30 21:07:46.968,13.147,1,False
2019-12-30 21:07:34.019,KWT,6013,GA17,2019-12-30 21:07:56.530,22.511,9,False
2019-12-30 21:07:34.616,LOF,11,GA46,2019-12-30 21:07:54.538,19.922,11,False
2019-12-30 21:07:35.613,CHH,09B,GA19,2019-12-30 21:08:03.503,27.89,9,False
2019-12-30 21:07:37.405,YAT,7010,HA14,2019-12-30 21:09:31.668,114.263,81,False
2019-12-30 21:07:38.402,KOB,11,GA18,2019-12-30 21:08:03.902,25.5,14,False
2019-12-30 21:07:38.402,KOT,07,GA01,2019-12-30 21:08:03.902,25.5,7,False
2019-12-30 21:07:40.593,MOK,41,GA03,2019-12-30 21:07:59.120,18.527,5,False
2019-12-30 21:07:41.591,NTK,12,QA40,2019-12-30 21:07:57.526,15.935,3,False
2019-12-30 21:07:42.187,HOM,19,GA04,2019-12-30 21:08:15.456,33.269,20,False
2019-12-30 21:07:42.984,YAT,7003A,GA44,2019-12-30 21:08:47.530,64.546,5,False
2019-12-30 21:07:43.382,KWT,6015,GA17,2019-12-30 21:08:07.090,23.708,9,False
2019-12-30 21:07:44.776,CHH,11,GA19,2019-12-30 21:08:53.108,68.332,53,True
2019-12-30 21:07:44.977,NTK,14,QA40,2019-12-30 21:08:04.897,19.92,7,False
2019-12-30 21:07:45.591,KOT,09,GA01,2019-12-30 21:09:01.076,75.485,60,True
2019-12-30 21:07:45.701,KWT,6012,QA12,2019-12-30 21:08:17.050,31.349,14,False
2019-12-30 21:07:45.774,MOK,43,GA03,2019-12-30 21:08:03.902,18.128,5,False
2019-12-30 21:07:45.972,LOF,13,GA46,2019-12-30 21:08:02.905,16.933,7,False
2019-12-30 21:07:48.163,YAT,7003B,GA44,2019-12-30 21:08:52.510,64.347,1,False
2019-12-30 21:07:50.155,YAT,7003C,GA44,2019-12-30 21:08:54.701,64.546,2,False
2019-12-30 21:07:50.953,YMT,42,QA06,2019-12-30 21:08:11.073,20.12,8,False
2019-12-30 21:07:51.151,MOK,45,GA03,2019-12-30 21:08:23.026,31.875,11,False
2019-12-30 21:07:52.147,KOB,02,QA40,2019-12-30 21:08:16.497,24.35,11,False
2019-12-30 21:07:52.546,KOB,13,GA18,2019-12-30 21:08:13.066,20.52,10,False
2019-12-30 21:07:53.129,YAT,7003D,GA44,2019-12-30 21:08:58.686,65.557,54,True
2019-12-30 21:07:53.130,LAT,6101,GA17,2019-12-30 21:08:10.640,17.51,6,False
2019-12-30 21:07:53.542,WTS,01,GA46,2019-12-30 21:08:12.069,18.527,9,False
2019-12-30 21:07:57.726,CHH,12,QA10,2019-12-30 21:08:20.437,22.711,9,False
2019-12-30 21:07:59.319,TIK,7120,QA43,2019-12-30 21:08:23.698,24.379,6,False
2019-12-30 21:07:59.319,LAT,6103,GA17,2019-12-30 21:08:27.807,28.488,9,False
2019-12-30 21:07:59.518,YAT,7004,QA41,2019-12-30 21:08:17.846,18.328,6,False
2019-12-30 21:07:59.518,YMT,44,QA06,2019-12-30 21:08:22.429,22.911,11,False
2019-12-30 21:07:59.718,KWT,6010,QA12,2019-12-30 21:08:33.584,33.866,12,False
2019-12-30 21:08:02.307,MOK,47,GA03,2019-12-30 21:09:19.006,76.699,58,True
2019-12-30 21:08:02.507,HOM,21,GA04,2019-12-30 21:08:38.565,36.058,21,False
