act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-12-30 17:06:30.565,TIK,7149,GA08,2019-12-30 17:06:49.490,18.925,2,False
2019-12-30 17:06:31.562,KOT,01,GA14,2019-12-30 17:06:47.972,16.41,6,False
2019-12-30 17:06:31.959,YMT,36,RA19,2019-12-30 17:06:57.459,25.5,6,False
2019-12-30 17:06:31.960,KOT,10,QA01,2019-12-30 17:07:50.649,78.689,66,True
2019-12-30 17:06:32.566,HOM,09,GA17,2019-12-30 17:07:43.278,70.712,7,False
2019-12-30 17:06:32.566,TIK,7120,GA08,2019-12-30 17:06:59.792,27.226,,False
2019-12-30 17:06:33.154,CHH,08,QA36,2019-12-30 17:06:56.662,23.508,5,False
2019-12-30 17:06:33.752,LAT,6108,QA06,2019-12-30 17:07:06.423,32.671,9,False
2019-12-30 17:06:34.348,WTS,05,GA13,2019-12-30 17:07:51.645,77.297,63,True
2019-12-30 17:06:34.947,KWT,6010,RA37,2019-12-30 17:07:09.611,34.664,13,False
2019-12-30 17:06:35.147,TIK,7122,RA08,2019-12-30 17:07:38.497,63.35,47,False
2019-12-30 17:06:35.346,KWT,6011,GA10,2019-12-30 17:06:54.470,19.124,5,False
2019-12-30 17:06:36.939,YAT,7012,RA07,2019-12-30 17:07:07.420,30.481,24,False
2019-12-30 17:06:37.537,HOM,04,QA18,2019-12-30 17:07:03.435,25.898,13,False
2019-12-30 17:06:37.736,KOT,03,GA14,2019-12-30 17:06:52.080,14.344,5,False
2019-12-30 17:06:38.335,YMT,38,RA19,2019-12-30 17:07:05.626,27.291,4,False
2019-12-30 17:06:38.533,CHH,10,QA36,2019-12-30 17:07:49.653,71.12,53,True
2019-12-30 17:06:38.733,TIK,7105,GA39,2019-12-30 17:07:03.435,24.702,11,False
2019-12-30 17:06:40.326,KOB,10,RA04,2019-12-30 17:07:47.063,66.737,53,True
2019-12-30 17:06:40.513,HOM,11,GA17,2019-12-30 17:07:52.442,71.929,51,True
2019-12-30 17:06:41.123,KWT,6013,GA10,2019-12-30 17:07:06.423,25.3,9,False
2019-12-30 17:06:41.322,LAT,6107,GA09,2019-12-30 17:07:04.431,23.109,10,False
2019-12-30 17:06:41.521,DIH,07,GA12,2019-12-30 17:07:02.638,21.117,8,False
2019-12-30 17:06:42.517,YMT,40,RA19,2019-12-30 17:08:01.607,79.09,62,True
2019-12-30 17:06:43.214,LAT,6106,QA06,2019-12-30 17:07:50.450,67.236,8,False
2019-12-30 17:06:43.713,KOT,05,GA14,2019-12-30 17:06:59.052,15.339,5,False
2019-12-30 17:06:43.878,DIH,08,RA03,2019-12-30 17:07:53.637,69.759,11,False
2019-12-30 17:06:48.013,KWT,6008,RA37,2019-12-30 17:08:09.899,81.886,63,True
2019-12-30 17:06:48.802,KOT,07,GA14,2019-12-30 17:07:11.977,23.175,6,False
2019-12-30 17:06:49.854,TIK,7107,GA39,2019-12-30 17:07:12.401,22.547,11,False
2019-12-30 17:06:50.089,DIH,09,GA12,2019-12-30 17:07:11.165,21.076,10,False
2019-12-30 17:06:50.685,MOK,32B,QA20,2019-12-30 17:07:12.599,21.914,7,False
2019-12-30 17:06:51.084,KWT,6015,GA10,2019-12-30 17:07:19.372,28.288,18,False
2019-12-30 17:06:51.482,HOM,06,QA18,2019-12-30 17:07:25.872,34.39,19,False
2019-12-30 17:06:52.080,LAT,6109,GA09,2019-12-30 17:07:26.312,34.232,25,False
2019-12-30 17:06:52.080,LAT,6104,QA06,2019-12-30 17:07:58.320,66.24,62,True
2019-12-30 17:06:55.267,KOT,09,GA14,2019-12-30 17:08:37.663,102.396,86,True
2019-12-30 17:06:55.267,DIH,10,RA03,2019-12-30 17:08:02.602,67.335,54,True
2019-12-30 17:06:57.857,MOK,34A,QA20,2019-12-30 17:07:18.575,20.718,6,False
2019-12-30 17:07:00.646,CHH,01,GA12,2019-12-30 17:07:17.579,16.933,6,False
2019-12-30 17:07:01.244,TIK,7109A,GA39,2019-12-30 17:08:20.133,78.889,6,False
2019-12-30 17:07:01.443,YAT,7010,RA07,2019-12-30 17:07:24.552,23.109,12,False
2019-12-30 17:07:04.431,MOK,34B,QA20,2019-12-30 17:07:23.556,19.125,6,False
2019-12-30 17:07:07.021,CHH,03,GA12,2019-12-30 17:07:22.161,15.14,4,False
2019-12-30 17:07:07.419,MOK,39,GA42,2019-12-30 17:07:28.536,21.117,7,False
2019-12-30 17:07:08.216,TIK,7109B,GA39,2019-12-30 17:08:24.515,76.299,2,False
2019-12-30 17:07:09.814,LAT,6101,GA10,2019-12-30 17:07:22.560,12.746,1,False
2019-12-30 17:07:11.005,TIK,7109C,GA39,2019-12-30 17:08:30.420,79.415,68,True
2019-12-30 17:07:11.006,LAT,6103,GA10,2019-12-30 17:07:45.469,34.463,11,False
2019-12-30 17:07:11.165,HOM,08,QA18,2019-12-30 17:07:59.414,48.249,26,False
2019-12-30 17:07:11.354,MOK,36,QA20,2019-12-30 17:07:41.684,30.33,12,False
2019-12-30 17:07:11.603,CHH,05,GA12,2019-12-30 17:07:28.138,16.535,5,False
2019-12-30 17:07:12.997,SKM,14,RA46,2019-12-30 17:07:36.704,23.707,8,False
2019-12-30 17:07:13.595,YAT,7008,RA07,2019-12-30 17:07:40.489,26.894,10,False
2019-12-30 17:07:14.592,MOK,41,GA42,2019-12-30 17:07:33.119,18.527,5,False
2019-12-30 17:07:16.782,CHH,07,GA12,2019-12-30 17:07:30.528,13.746,3,False
2019-12-30 17:07:17.733,YAT,7001,GA09,2019-12-30 17:07:50.250,32.517,19,False
2019-12-30 17:07:19.363,NTK,08,QA05,2019-12-30 17:07:46.004,26.641,13,False
2019-12-30 17:07:19.880,YMT,37,GA16,2019-12-30 17:07:39.094,19.214,5,False
2019-12-30 17:07:20.369,CHH,09B,GA12,2019-12-30 17:07:47.661,27.292,7,False
2019-12-30 17:07:20.567,MOK,43,GA42,2019-12-30 17:07:38.098,17.531,4,False
2019-12-30 17:07:21.763,SKM,16,RA46,2019-12-30 17:07:42.083,20.32,5,False
2019-12-30 17:07:22.161,TIK,7120,RA08,2019-12-30 17:07:46.465,24.304,14,False
2019-12-30 17:07:22.723,LAT,6105,GA10,2019-12-30 17:08:44.409,81.686,67,True
2019-12-30 17:07:23.745,YAT,7006C,RA07,2019-12-30 17:08:30.420,66.675,13,False
2019-12-30 17:07:23.745,MOK,38,QA20,2019-12-30 17:08:39.656,75.911,9,False
2019-12-30 17:07:24.751,MOK,45,GA42,2019-12-30 17:07:58.021,33.27,13,False
2019-12-30 17:07:24.751,KOB,11,GA40,2019-12-30 17:07:49.653,24.902,14,False
2019-12-30 17:07:25.278,YMT,39,GA16,2019-12-30 17:07:46.004,20.726,7,False
2019-12-30 17:07:26.312,NTK,13,GA11,2019-12-30 17:07:47.661,21.349,11,False
2019-12-30 17:07:26.744,SKM,15,GA15,2019-12-30 17:07:50.650,23.906,13,False
2019-12-30 17:07:26.942,SKM,18,RA46,2019-12-30 17:07:52.044,25.102,11,False
2019-12-30 17:07:26.942,WTS,12,QA02,2019-12-30 17:07:47.063,20.121,11,False
2019-12-30 17:07:27.141,LOF,12,RA35,2019-12-30 17:07:53.637,26.496,15,False
2019-12-30 17:07:28.307,CHH,11,GA12,2019-12-30 17:08:45.632,77.325,63,True
2019-12-30 17:07:32.511,CHH,12,QA36,2019-12-30 17:07:55.629,23.118,10,False
2019-12-30 17:07:32.511,HOM,13,GA17,2019-12-30 17:07:57.422,24.911,7,False
2019-12-30 17:07:33.118,YMT,41,GA16,2019-12-30 17:07:55.231,22.113,9,False
2019-12-30 17:07:33.317,NTK,10,QA05,2019-12-30 17:07:57.621,24.304,10,False
2019-12-30 17:07:33.516,MOK,40,QA20,2019-12-30 17:08:46.628,73.112,57,True
2019-12-30 17:07:33.716,KOB,12,RA04,2019-12-30 17:07:59.194,25.478,12,False
2019-12-30 17:07:36.305,TIK,7110,QA38,2019-12-30 17:07:48.447,12.142,1,False
2019-12-30 17:07:36.903,YAT,7006B,RA07,2019-12-30 17:08:36.468,59.565,0,False
2019-12-30 17:07:37.102,TIK,7118,RA08,2019-12-30 17:07:48.447,11.345,0,False
2019-12-30 17:07:37.501,TIK,7116,RA08,2019-12-30 17:07:56.426,18.925,20,False
2019-12-30 17:07:37.501,YAT,7003A,GA09,2019-12-30 17:08:34.462,56.961,0,False
2019-12-30 17:07:37.501,TIK,7108,QA38,2019-12-30 17:07:53.438,15.937,20,False
2019-12-30 17:07:37.700,YAT,7006A,RA07,2019-12-30 17:08:42.445,64.745,52,True
2019-12-30 17:07:37.825,WTS,07,GA13,2019-12-30 17:08:00.012,22.187,13,False
2019-12-30 17:07:37.861,MOK,47,GA42,2019-12-30 17:08:46.628,68.767,51,True
2019-12-30 17:07:38.029,HOM,10,QA18,2019-12-30 17:08:43.242,65.213,8,False
2019-12-30 17:07:38.029,WTS,14,QA02,2019-12-30 17:07:54.596,16.567,6,False
2019-12-30 17:07:38.099,KOT,12,QA01,2019-12-30 17:08:02.602,24.503,12,False
2019-12-30 17:07:38.297,NTK,15,GA11,2019-12-30 17:07:57.621,19.324,8,False
2019-12-30 17:07:38.298,YAT,7003B,GA09,2019-12-30 17:08:38.460,60.162,17,False
