act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-12-12 18:41:12.424,WTS,07,GA18,2019-12-12 18:41:35.719,23.295,14,False
2019-12-12 18:41:13.021,KOB,02,RA11,2019-12-12 18:41:41.697,28.676,9,False
2019-12-12 18:41:13.418,LOF,12,QA38,2019-12-12 18:41:34.329,20.911,12,False
2019-12-12 18:41:14.414,HOM,15,GA03,2019-12-12 18:41:42.097,27.683,13,False
2019-12-12 18:41:14.613,TIK,7114,QA14,2019-12-12 18:41:35.866,21.253,1,False
2019-12-12 18:41:14.813,YAT,7001,GA43,2019-12-12 18:41:37.930,23.117,22,False
2019-12-12 18:41:15.211,LAT,6105,GA16,2019-12-12 18:42:23.923,68.712,54,True
2019-12-12 18:41:15.410,TIK,7101,GA42,2019-12-12 18:41:47.871,32.461,24,False
2019-12-12 18:41:15.582,TIK,7106,RA41,2019-12-12 18:41:41.896,26.314,23,False
2019-12-12 18:41:15.760,TIK,7111,GA15,2019-12-12 18:41:35.866,20.106,22,False
2019-12-12 18:41:15.808,MOK,32B,QA06,2019-12-12 18:41:37.117,21.309,6,False
2019-12-12 18:41:16.007,TIK,7112C,QA14,2019-12-12 18:42:48.832,92.825,21,False
2019-12-12 18:41:17.195,YMT,34,RA37,2019-12-12 18:41:33.333,16.138,2,False
2019-12-12 18:41:18.199,SKM,01,GA01,2019-12-12 18:41:44.287,26.088,12,False
2019-12-12 18:41:18.596,NTK,02,QA40,2019-12-12 18:41:36.121,17.525,8,False
2019-12-12 18:41:19.393,YMT,36,RA37,2019-12-12 18:41:41.299,21.906,4,False
2019-12-12 18:41:19.394,LOF,13,GA19,2019-12-12 18:41:42.693,23.299,11,False
2019-12-12 18:41:19.791,HOM,14,RA04,2019-12-12 18:41:44.485,24.694,8,False
2019-12-12 18:41:21.384,HOM,04,QA05,2019-12-12 18:41:49.066,27.682,15,False
2019-12-12 18:41:21.981,MOK,34A,QA06,2019-12-12 18:41:43.290,21.309,7,False
2019-12-12 18:41:22.778,KOB,04,RA11,2019-12-12 18:41:58.426,35.648,17,False
2019-12-12 18:41:24.371,YMT,38,RA37,2019-12-12 18:41:49.265,24.894,4,False
2019-12-12 18:41:24.770,KOB,11,GA17,2019-12-12 18:41:50.659,25.889,15,False
2019-12-12 18:41:25.964,LOF,14,QA38,2019-12-12 18:41:42.260,16.296,7,False
