act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-11-15 13:38:45.656,KOT,11,GA15,2019-11-15 13:39:10.313,24.657,14,False
2019-11-15 13:38:45.656,SKM,04,QA02,2019-11-15 13:39:02.788,17.132,6,False
2019-11-15 13:38:46.653,KWT,6002,QA06,2019-11-15 13:39:09.163,22.51,10,False
2019-11-15 13:38:47.249,SKM,11,GA16,2019-11-15 13:39:08.765,21.516,4,False
2019-11-15 13:38:47.250,HOM,15,GA18,2019-11-15 13:39:15.339,28.089,14,False
2019-11-15 13:38:49.042,CHH,17,GA13,2019-11-15 13:39:06.176,17.134,6,False
2019-11-15 13:38:50.636,WTS,04,QA04,2019-11-15 13:39:14.158,23.522,8,False
2019-11-15 13:38:50.636,WHA,04,GA19,2019-11-15 13:39:15.738,25.102,6,False
2019-11-15 13:38:52.230,SKM,13,GA16,2019-11-15 13:39:59.765,67.535,51,True
2019-11-15 13:38:52.323,SKM,06,QA02,2019-11-15 13:39:09.761,17.438,7,False
2019-11-15 13:38:53.425,MOK,38,QA01,2019-11-15 13:39:26.499,33.074,12,False
2019-11-15 13:38:55.019,HOM,08,QA20,2019-11-15 13:39:45.160,50.141,26,False
2019-11-15 13:38:55.417,CHH,19,GA13,2019-11-15 13:39:13.158,17.741,7,False
2019-11-15 13:38:56.812,YAT,7008,QA08,2019-11-15 13:39:26.013,29.201,9,False
2019-11-15 13:38:57.410,WHA,06,GA19,2019-11-15 13:40:43.394,105.984,89,True
2019-11-15 13:38:57.410,NTK,02,QA06,2019-11-15 13:39:16.159,18.749,9,False
2019-11-15 13:38:59.202,WTS,06,QA04,2019-11-15 13:39:29.285,30.083,8,False
2019-11-15 13:38:59.601,SKM,08,QA02,2019-11-15 13:39:22.710,23.109,6,False
2019-11-15 13:39:00.200,KOT,13,GA15,2019-11-15 13:39:18.328,18.128,8,False
2019-11-15 13:39:01.593,HOM,17,GA18,2019-11-15 13:39:35.460,33.867,22,False
2019-11-15 13:39:02.788,TIK,7120,QA09,2019-11-15 13:39:26.013,23.225,6,False
2019-11-15 13:39:02.988,CHH,21,GA13,2019-11-15 13:39:19.722,16.734,6,False
2019-11-15 13:39:02.989,KOB,12,QA05,2019-11-15 13:39:23.706,20.717,11,False
2019-11-15 13:39:03.187,LAT,6108,QA07,2019-11-15 13:39:38.050,34.863,9,False
2019-11-15 13:39:05.180,MOK,39,GA17,2019-11-15 13:39:29.665,24.485,7,False
2019-11-15 13:39:06.175,MOK,40,QA01,2019-11-15 13:39:34.863,28.688,9,True
2019-11-15 13:39:06.176,SKM,10,QA02,2019-11-15 13:40:15.703,69.527,9,False
2019-11-15 13:39:06.773,YAT,7006C,QA08,2019-11-15 13:40:42.797,96.024,5,False
2019-11-15 13:39:06.972,NTK,04,QA06,2019-11-15 13:39:31.675,24.703,7,False
2019-11-15 13:39:08.167,WTS,08,QA04,2019-11-15 13:40:19.688,71.521,13,False
2019-11-15 13:39:08.964,KOT,15,GA15,2019-11-15 13:39:24.304,15.34,5,False
2019-11-15 13:39:09.363,YAT,7009,GA10,2019-11-15 13:39:32.871,23.508,23,False
2019-11-15 13:39:09.562,TIK,7118,QA09,2019-11-15 13:39:28.089,18.527,5,False
2019-11-15 13:39:09.961,KOB,01,GA13,2019-11-15 13:39:27.691,17.73,6,False
2019-11-15 13:39:12.550,YAT,7006B,QA08,2019-11-15 13:40:49.969,97.419,11,False
2019-11-15 13:39:12.749,LAT,6106,QA07,2019-11-15 13:40:31.840,79.091,11,False
2019-11-15 13:39:12.949,MOK,41,GA17,2019-11-15 13:39:35.859,22.91,6,False
2019-11-15 13:39:14.158,KOB,14,QA05,2019-11-15 13:39:33.269,19.111,7,False
2019-11-15 13:39:14.158,NTK,06,QA06,2019-11-15 13:40:27.656,73.498,57,True
2019-11-15 13:39:14.941,LOF,01,GA15,2019-11-15 13:39:30.679,15.738,5,False
2019-11-15 13:39:15.159,TIK,7116,QA09,2019-11-15 13:39:37.851,22.692,17,False
2019-11-15 13:39:15.738,MOK,42,QA01,2019-11-15 13:39:45.160,29.422,10,False
2019-11-15 13:39:16.159,SKM,12,QA02,2019-11-15 13:40:24.902,68.743,56,True
2019-11-15 13:39:16.335,KOB,03,GA13,2019-11-15 13:39:39.246,22.911,7,False
2019-11-15 13:39:19.523,MOK,43,GA17,2019-11-15 13:39:40.839,21.316,6,False
2019-11-15 13:39:20.917,LOF,03,GA15,2019-11-15 13:39:37.254,16.337,5,False
2019-11-15 13:39:21.515,KOB,16,QA05,2019-11-15 13:39:42.225,20.71,11,False
2019-11-15 13:39:21.515,HOM,10,QA20,2019-11-15 13:41:54.914,153.399,9,False
2019-11-15 13:39:21.914,WTS,10,QA04,2019-11-15 13:40:28.652,66.738,55,True
2019-11-15 13:39:23.706,YAT,7006A,QA08,2019-11-15 13:40:53.754,90.048,75,True
2019-11-15 13:39:23.906,KOB,05,GA13,2019-11-15 13:40:04.746,40.84,13,False
2019-11-15 13:39:23.906,LAT,6104,QA07,2019-11-15 13:40:38.812,74.906,59,True
2019-11-15 13:39:23.907,HOM,19,GA18,2019-11-15 13:39:57.972,34.065,21,False
2019-11-15 13:39:25.899,MOK,44,QA01,2019-11-15 13:40:06.738,40.839,5,False
2019-11-15 13:39:26.501,MOK,45,GA17,2019-11-15 13:39:59.168,32.667,13,False
2019-11-15 13:39:26.894,LOF,05,GA15,2019-11-15 13:39:50.203,23.309,6,False
2019-11-15 13:39:30.878,HOM,12,QA20,2019-11-15 13:42:02.286,151.408,133,True
2019-11-15 13:39:31.616,MOK,46,QA01,2019-11-15 13:40:16.662,45.046,28,False
2019-11-15 13:39:32.472,TIK,7101,GA10,2019-11-15 13:40:05.941,33.469,25,False
2019-11-15 13:39:32.671,CHH,02,QA05,2019-11-15 13:39:53.773,21.102,12,False
2019-11-15 13:39:32.671,TIK,7114,QA09,2019-11-15 13:39:50.004,17.333,11,False
2019-11-15 13:39:33.667,LOF,07,GA15,2019-11-15 13:40:45.785,72.118,11,False
2019-11-15 13:39:36.257,LOF,12,QA03,2019-11-15 13:39:56.777,20.52,11,False
2019-11-15 13:39:36.656,KOB,11,GA12,2019-11-15 13:40:03.351,26.695,14,False
2019-11-15 13:39:37.453,KWT,6009,GA11,2019-11-15 13:40:00.521,23.068,8,False
2019-11-15 13:39:37.653,KOB,07,GA13,2019-11-15 13:40:26.661,49.008,28,False
2019-11-15 13:39:38.450,DIH,07,GA14,2019-11-15 13:39:59.168,20.718,8,False
2019-11-15 13:39:40.043,MOK,47,GA17,2019-11-15 13:41:03.715,83.672,66,True
2019-11-15 13:39:43.958,SKM,15,GA16,2019-11-15 13:40:07.336,23.378,13,False
2019-11-15 13:39:44.425,TIK,7112C,QA09,2019-11-15 13:41:24.832,100.407,0,False
2019-11-15 13:39:44.426,TIK,7112B,QA09,2019-11-15 13:41:28.817,104.391,0,False
2019-11-15 13:39:45.160,TIK,7112A,QA09,2019-11-15 13:41:37.981,112.821,96,True
2019-11-15 13:39:45.421,LOF,09,GA15,2019-11-15 13:40:54.750,69.329,59,True
2019-11-15 13:39:45.421,CHH,04,QA05,2019-11-15 13:40:06.738,21.317,10,False
2019-11-15 13:39:45.422,HOM,21,GA18,2019-11-15 13:40:20.086,34.664,20,False
