act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-11-09 18:33:02.327,KWT,6011,GD19,2019-11-09 18:33:20.456,18.129,5,False
2019-11-09 18:33:02.327,LOF,05,GD24,2019-11-09 18:33:26.610,24.283,6,False
2019-11-09 18:33:02.725,NTK,04,RD11,2019-11-09 18:33:28.225,25.5,9,False
2019-11-09 18:33:03.522,YMT,44,QD03,2019-11-09 18:33:27.030,23.508,12,False
2019-11-09 18:33:04.319,SKM,01,GD26,2019-11-09 18:33:30.616,26.297,12,False
2019-11-09 18:33:04.718,LOF,06,QD07,2019-11-09 18:33:31.213,26.495,9,False
2019-11-09 18:33:05.315,KWT,6010,QD12,2019-11-09 18:33:35.796,30.481,10,False
2019-11-09 18:33:05.523,KOB,05,GD21,2019-11-09 18:33:26.034,20.511,10,False
2019-11-09 18:33:05.712,KOB,06,QD10,2019-11-09 18:33:30.217,24.505,8,False
2019-11-09 18:33:06.311,WTS,02,RD08,2019-11-09 18:33:29.022,22.711,9,False
2019-11-09 18:33:06.909,CHH,14,QD09,2019-11-09 18:33:25.028,18.119,6,False
2019-11-09 18:33:07.506,YMT,33,GD28,2019-11-09 18:33:31.606,24.1,5,False
2019-11-09 18:33:07.649,KWT,6013,GD19,2019-11-09 18:33:30.218,22.569,9,False
2019-11-09 18:33:09.299,LOF,07,GD24,2019-11-09 18:34:26.612,77.313,11,False
2019-11-09 18:33:10.216,YAT,7003C,GD18,2019-11-09 18:34:03.644,53.428,1,False
2019-11-09 18:33:10.893,YAT,7002,RD13,2019-11-09 18:33:19.660,8.767,0,False
2019-11-09 18:33:11.293,YAT,7003D,GD18,2019-11-09 18:34:09.590,58.297,43,True
2019-11-09 18:33:11.691,YAT,7012,QD14,2019-11-09 18:33:33.604,21.913,13,False
2019-11-09 18:33:11.889,LAT,6112,RD13,2019-11-09 18:33:49.541,37.652,22,False
2019-11-09 18:33:12.089,NTK,06,RD11,2019-11-09 18:34:18.029,65.94,51,True
2019-11-09 18:33:12.487,SKM,19,GD25,2019-11-09 18:33:26.610,14.123,4,False
