act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-12-13 15:42:05.369,CHH,20,QA19,2019-12-13 15:42:26.886,21.517,6,False
2019-12-13 15:42:05.967,LOF,07,GA10,2019-12-13 15:43:11.712,65.745,11,False
2019-12-13 15:42:07.959,KWT,6006,QA01,2019-12-13 15:42:32.448,24.489,6,False
2019-12-13 15:42:08.557,WHA,02,GA14,2019-12-13 15:42:27.484,18.927,6,False
2019-12-13 15:42:09.155,CHH,21,GA08,2019-12-13 15:42:27.285,18.13,6,False
2019-12-13 15:42:11.102,NTK,07,PS50,2019-12-13 15:42:35.254,24.152,9,False
2019-12-13 15:42:11.545,DIH,02,QA19,2019-12-13 15:42:39.239,27.694,10,False
2019-12-13 15:42:11.546,KWT,6003,GA07,2019-12-13 15:42:31.269,19.723,5,False
2019-12-13 15:42:11.944,YMT,42,QA15,2019-12-13 15:42:32.265,20.321,8,False
2019-12-13 15:42:13.339,WTS,12,QA18,2019-12-13 15:42:33.660,20.321,9,False
2019-12-13 15:42:13.538,KOB,10,QA20,2019-12-13 15:43:28.244,74.706,62,True
2019-12-13 15:42:13.936,YAT,7001,GA06,2019-12-13 15:42:45.415,31.479,18,False
2019-12-13 15:42:13.936,MOK,32B,QA16,2019-12-13 15:42:37.247,23.311,7,False
2019-12-13 15:42:14.932,KWT,6004,QA01,2019-12-13 15:42:37.844,22.912,6,False
2019-12-13 15:42:14.933,WHA,04,GA14,2019-12-13 15:42:40.832,25.899,6,False
2019-12-13 15:42:15.530,HOM,17,GA13,2019-12-13 15:42:49.598,34.068,22,False
2019-12-13 15:42:15.929,KOB,01,GA08,2019-12-13 15:42:33.660,17.731,7,False
2019-12-13 15:42:16.725,KWT,6005,GA07,2019-12-13 15:42:41.828,25.103,5,False
2019-12-13 15:42:17.124,SKM,15,GA11,2019-12-13 15:42:40.633,23.509,13,False
2019-12-13 15:42:17.522,LOF,09,GA10,2019-12-13 15:43:21.074,63.552,52,True
