act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,arr_time,dep_time,arr_delay,dep_delay,incident,destination_code_train,timetable_code_train,number_train,quantile,fault_description,fault_classification,propagated,act_travelling_time_quantile,act_occupied_time_quantile
2019-11-19 00:00:02.935,YMT,39,KS98,2019-11-19 00:00:09.907,6.972,2.0,False,,,-39.707857142857144,-13.688,False,K,S,98,0,,,True,0,0
2019-11-19 00:00:04.130,TIK,7104,HA46,2019-11-19 00:00:30.427,26.297,13.0,False,,,-40.265142857142855,-14.046000000000001,False,H,A,46,0,,,True,0,0
2019-11-19 00:00:05.525,YMT,41,KS98,2019-11-19 00:00:26.841,21.316,15.0,False,,,-40.822428571428574,-14.404,False,K,S,98,0,,,True,0,0
2019-11-19 00:00:15.884,HOM,17,GA12,2019-11-19 00:00:49.950,34.066,22.0,False,,,-41.379714285714286,-14.762,False,G,A,12,0,,,True,0,0
2019-11-19 00:00:17.876,TIK,7102,HA46,2019-11-19 00:00:44.571,26.695,14.0,False,,,-41.937,-15.120000000000001,False,H,A,46,0,,,True,0,0
2019-11-19 00:00:20.665,CHH,35,KS92,2019-11-19 00:01:08.477,47.812,10.0,False,,,-42.49428571428571,-15.478000000000002,False,K,S,92,0,,,True,0,0
2019-11-19 00:00:20.665,MOK,31,KS98,2019-11-19 00:00:41.384,20.719,16.0,False,,,-43.05157142857143,-15.836000000000002,False,K,S,98,0,,,True,0,0
2019-11-19 00:00:31.622,CHH,30,KS92,2019-11-19 00:01:20.430,48.808,7.0,False,,,-43.60885714285715,-16.194000000000003,False,K,S,92,0,,,True,0,0
2019-11-19 00:00:32.817,YAT,7012,HA46,2019-11-19 00:01:08.676,35.859,27.0,False,,,-44.16614285714286,-16.552,False,H,A,46,0,,,True,0,0
2019-11-19 00:00:37.399,MOK,33,KS98,2019-11-19 00:00:56.923,19.524,14.0,False,,,-44.72342857142857,-16.91,False,K,S,98,0,,,True,0,0
2019-11-19 00:00:37.997,HOM,19,GA12,2019-11-19 00:01:12.063,34.066,21.0,False,,,-45.28071428571428,-17.268,False,G,A,12,0,,,True,0,0
2019-11-19 00:00:39.391,CHH,28,KS92,2019-11-19 00:04:08.189,208.798,,False,,,-45.838,-17.626,False,K,S,92,0,,,True,0,0
2019-11-19 00:00:52.141,MOK,35,KS98,2019-11-19 00:01:09.473,17.332,13.0,False,,,-46.39528571428571,-17.984,False,K,S,98,0,,,True,0,0
2019-11-19 00:00:59.911,HOM,21,GA12,2019-11-19 00:01:34.774,34.863,20.0,False,,,-46.95257142857143,-18.342000000000002,False,G,A,12,0,,,True,0,0
2019-11-19 00:00:59.911,YAT,7010,HA46,2019-11-19 00:01:30.590,30.679,16.0,False,,,-47.50985714285714,-18.700000000000003,False,H,A,46,0,,,True,0,0
2019-11-19 00:01:05.290,MOK,37,KS98,2019-11-19 00:01:16.446,11.156,7.0,True,,,-48.067142857142855,-19.058,False,K,S,98,0,,,True,0,0
2019-11-19 00:01:12.860,MOK,39,KS98,2019-11-19 00:01:24.415,11.555,6.0,False,,,-48.624428571428574,-19.416000000000004,False,K,S,98,0,,,True,0,0
2019-11-19 00:01:16.047,YAT,7008,HA46,2019-11-19 00:01:42.543,26.496,12.0,False,,,-49.181714285714285,-19.774,False,H,A,46,0,,,True,0,0
