day_in_week,hour_in_day,mean,st_dev,no_of_entries
6.0,21.0,67.44022587367466,5.4806041348180425,14.0
6.0,12.0,87.28429119403546,26.98190210557995,52.0
6.0,19.0,66.7697002704327,4.923629069865543,13.0
6.0,20.0,74.90578381768589,10.576905001188173,29.0
6.0,13.0,109.64109262319711,21.05364595221405,65.0
6.0,9.0,68.35611397879464,6.935403119018362,7.0
6.0,14.0,85.72254638671875,13.42488907825587,10.0
6.0,10.0,69.50146484375,9.811703031894703,4.0
6.0,8.0,71.67816543579102,11.25549668194612,16.0
6.0,15.0,66.87059020996094,4.823713165862854,8.0
6.0,22.0,86.69707380022321,13.449609794645205,7.0
6.0,0.0,69.7474365234375,7.22972622154688,4.0
