day_in_week,hour_in_day,mean,st_dev,no_of_entries
0.0,9.0,80.45702254683883,16.52150211128271,135.0
0.0,10.0,77.51380247228286,13.285922821403803,68.0
0.0,17.0,75.6663811577691,12.34744081399508,45.0
0.0,19.0,86.20950795368977,20.956798408878278,83.0
0.0,6.0,77.56812540690105,15.172159213550637,15.0
0.0,16.0,111.21644083658855,47.11241464308073,36.0
0.0,7.0,74.8646510532924,13.555723527588826,70.0
0.0,11.0,69.71686662946429,6.9726069088581015,21.0
0.0,21.0,82.52356201171875,18.459196398997214,25.0
0.0,12.0,65.943359375,6.814296322264311,6.0
0.0,15.0,75.66735185895648,9.770278866341647,28.0
0.0,18.0,86.45508960169605,26.841920907334107,117.0
0.0,8.0,77.0969071821733,12.970102263376049,66.0
0.0,14.0,71.3109130859375,8.142767906493608,8.0
0.0,23.0,68.2294921875,2.53857421875,2.0
0.0,13.0,60.2803955078125,0.0,1.0
0.0,20.0,78.54389260031961,16.49900814365129,22.0
0.0,22.0,89.97259611241958,20.968064115597116,17.0
1.0,7.0,76.5764663938492,14.549934281274835,63.0
1.0,8.0,75.2055126953125,14.628995427880433,50.0
1.0,10.0,102.70917538373898,46.84899961063378,195.0
1.0,16.0,92.94541015625,28.880040719001236,85.0
1.0,17.0,74.87507816236847,15.70017320668383,98.0
1.0,18.0,80.9849162990764,21.003715100166772,118.0
1.0,20.0,83.63663912220161,17.557296209733256,119.0
1.0,22.0,110.65804733055225,53.71223480188815,138.0
1.0,12.0,115.46688511686504,54.14208341604432,106.0
1.0,6.0,119.41647847493489,61.18195714777644,93.0
1.0,9.0,116.3753846541695,47.51238127600909,230.0
1.0,19.0,85.71405444425694,22.583920843414486,136.0
1.0,13.0,83.86718636504875,19.71164117203826,121.0
1.0,11.0,94.56988448130933,27.387444667597745,79.0
1.0,15.0,81.09990014922752,18.00355561517961,89.0
1.0,14.0,92.7604382966694,24.78557052281785,95.0
1.0,21.0,83.88430670033331,21.916481596529284,92.0
1.0,23.0,142.53802926199776,111.68947382017518,21.0
1.0,0.0,68.527587890625,3.6669921875,2.0
2.0,6.0,113.68074422487071,44.70177246743673,142.0
2.0,14.0,83.60739212036133,19.921136577593437,80.0
2.0,15.0,94.46982974817257,25.825842939972162,202.0
2.0,16.0,108.65704461300012,44.324735325009335,132.0
2.0,18.0,109.04318561553956,36.94720660940315,120.0
